iter	Passed	Remaining
714	43324	17269
715	43376	17205
716	43437	17144
717	43490	17081
718	43546	17018
719	43602	16956
720	43669	16898
721	43737	16840
722	43801	16781
723	43858	16719
724	43926	16661
725	43990	16602
726	44050	16541
727	44104	16478
728	44163	16417
729	44228	16358
730	44288	16297
731	44370	16245
732	44445	16189
733	44510	16130
734	44559	16065
735	44625	16007
736	44687	15946
737	44743	15884
738	44808	15825
739	44877	15767
740	44937	15707
741	44995	15645
742	45055	15584
743	45131	15529
744	45190	15467
745	45254	15408
746	45317	15348
747	45384	15289
748	45446	15229
749	45505	15168
750	45560	15105
751	45623	15046
752	45681	14984
753	45733	14921
754	45788	14858
755	45858	14800
756	45919	14740
757	45975	14678
758	46029	14615
759	46093	14555
760	46150	14494
761	46203	14430
762	46248	14365
763	46303	14303
764	46362	14242
765	46412	14178
766	46466	14115
767	46533	14056
768	46588	13994
769	46640	13931
770	46695	13869
771	46746	13805
772	46794	13741
773	46852	13680
774	46911	13619
775	46963	13556
776	47026	13496
777	47082	13434
778	47133	13371
779	47189	13309
780	47255	13250
781	47311	13189
782	47362	13126
783	47415	13063
784	47475	13002
785	47533	12941
786	47590	12880
787	47644	12818
788	47703	12757
789	47757	12694
790	47799	12629
791	47857	12568
792	47911	12506
793	47972	12446
794	48022	12383
795	48077	12321
796	48126	12257
797	48186	12197
798	48241	12135
799	48297	12074
800	48347	12011
801	48405	11950
802	48459	11888
803	48511	11826
804	48566	11764
805	48630	11704
806	48686	11643
807	48739	11581
808	48793	11519
809	48835	11455
810	48897	11395
811	48953	11334
812	49011	11273
813	49066	11211
814	49126	11151
815	49177	11089
816	49226	11026
817	49276	10963
818	49329	10901
819	49387	10841
820	49442	10779
821	49492	10717
822	49545	10655
823	49614	10597
824	49672	10536
825	49723	10474
826	49772	10411
827	49825	10350
828	49885	10290
829	49939	10228
830	49994	10167
831	50050	10106
832	50109	10045
833	50162	9984
834	50215	9922
835	50273	9862
836	50326	9800
837	50375	9738
838	50421	9675
